ID_UNIFICA;EQUIDAD_SOCIAL;COBERTURA_SALUD;COBERTURA_EDUCACION;COBERTURA_ACUEDUCTO;COBERTURA_ALCANTARILLADO;DISTANCIA_SALUD;DISTANCIA_EDUCACION
6800110000000013150407;4,44312497079372;16587;11423;4;3;162,014861352;215,096785670633
6800110000000014110132;21,7125929417434;13344;9083;141;114;669,173735615;218,810007476933
6800110000000001880404;42,6452937799342;8106;5254;222;257;162,499112031;69,0326443299867
6800110000000002030106;14,911872114765;13660;9339;143;111;531,451173755;289,733443196594
6800110000000003070306;20,9286204420287;16686;11194;52;45;339,158035501;200,323532942416
6800110000000014110447;23,3845676757671;7313;4937;162;128;1008,30614044;297,58617555293
6800110000000015020331;19,1879999542236;1095;673;33;118;1398,24403786;962,989919693392
6800110000000015020521;30,284583351016;8978;5875;793;501;436,530290964;976,022377319735
6800110000000001010205;21,3027129653812;14668;10099;153;78;396,599247715;317,194620453187
6800110000000001020913;40,8747062795302;11702;7462;21;16;633,691571488;324,076256636137
6800110000000001890167;54,0620686432411;2474;1610;257;301;2548,54564768;2980,76143858754
6800110000000002850231;45,5318467055157;11088;7513;444;240;237,22437032;272,844962191982
6800110000000004180124;19,372881497367;5491;3916;9;12;143,730160179;92,8248080076374
6800110000000005670125;4,12028984574304;6834;4700;5;7;106,201204836;304,919894569451
6800110000000009600105;8,68108110653388;9443;6598;4;1;593,827042969;187,985264286336
6800110000000013150505;4,8238094661917;16922;11579;8;5;145,240555869;350,933250206849
6800110000000013190505;23,7336629909454;15437;10468;7;9;45,9005906013;284,100197786279
6800110000000015020430;45,4530620088383;2123;1289;38;254;1000,31494615;385,560225244747
6800110000000015020529;35,154128175263;8176;5289;561;427;155,390647316;580,066888679773
6800110000000002030505;30,7495829045773;15870;11019;116;79;143,425242586;129,186922912296
6800110000000003050105;18,9212766758939;9130;6155;43;43;115,549125338;108,715150071405
6800110000000005260218;25,073214716145;7105;5130;14;22;350,898082903;332,910763210188
6800110000000004210411;24,0453124530613;9174;6290;126;136;261,151614278;199,881914225314
6800110000000007420525;5,97021273158966;17879;12579;49;29;190,394725632;170,68782172138
6800110000000009870111;10,1679485470821;4895;3392;3;2;445,535329225;404,602491334626
6800110000000008560310;15,3435973790361;17952;12572;149;138;294,148060764;188,508281515
6800110000000010640114;3,19999997709927;11035;7444;13;17;110,194427932;307,156134197942
6800110000000011950409;15,2490095118485;13004;8663;4;11;409,872035612;489,785136358546
6800110000000012370405;2,45941175853505;13367;9768;6;5;35,9212403378;21,5890967082073
6800110000000013130206;2,23238636764952;15252;11113;3;5;31,3291078392;429,549851822971
6800110000000013150111;2,88611109554768;19012;12689;9;10;50,0655173916;39,0350926252813
